,1a,1b,1c,1d,1e,1f,1g,1h,1i,2a,2b,2c,2d,2e,2f,2g,2h,2i
2022/05/07 10:52:32,177.5842349439581,272.08912686088,161.2708268530251,126.08074130407867,126.36804811250389,111.97024970864757,127.95470697721181,374.42725466603633,340.0345323999766,836.3111688461655,1047.3948080408752,787.4366218411262,210.3883181597932,187.45821715673182,236.1640157037625,102.74189494272227,121.3818614019822,111.22493801174905
2022/05/07 10:52:34,177.51802158268148,271.7718497871553,161.0068651456396,125.94807460898232,126.1689836004371,111.82832358513653,127.73970418202802,373.98936378400197,339.5673427653065,835.9054353128271,1046.907910363324,786.8413641612372,210.18473954625622,187.18392628714628,235.81868897625446,102.69442594672213,121.19725020593356,111.02743301661144
2022/05/07 10:52:36,177.45180822140483,271.4738016269897,160.74290343825407,125.81540791388595,125.97939835084966,111.68639746162546,127.5247013868442,373.54128939308305,339.0902129256432,835.4808304523566,1046.421012685773,786.2361855200169,209.98116093271923,186.89983931507555,235.48322872667524,102.64695695072197,121.01263900988492,110.8299280214738
2022/05/07 10:52:38,177.38559486012818,271.17575346682406,160.48871809040133,125.69221741129648,125.78981310126221,111.54447133811442,127.3096985916604,373.10339851104874,338.623023290973,835.0750969190183,1045.9341150082219,785.6409278401277,209.77758231918227,186.61575234300486,235.147768477096,102.59948795472182,120.82802781383629,110.64229827609307
2022/05/07 10:53:13,177.32884055046247,270.87770530665847,160.24430910208142,125.56902690870699,125.59074858919543,111.40254521460339,127.0946957964766,372.66550762901437,338.1558336563028,834.6787990492459,1045.4666932377727,785.1250378508906,209.58418263632214,186.34146147341934,234.81230822751684,102.55201895872167,120.67418515046239,110.45466853071235
2022/05/07 10:53:15,177.2720862407968,270.57004268971326,159.99990011376147,125.44583640611751,125.3916840771286,111.26061909109234,126.88904094890951,372.2174332380955,337.6787038166396,834.2919368430394,1045.0187473744256,784.6190688229851,209.390782953462,186.06717060383383,234.4768479779376,102.50454996272151,120.52034248708853,110.26703878533161
2022/05/07 10:53:18,177.2153319311311,270.2623800727681,159.75549112544155,125.32264590352803,125.1926195650618,111.1186929675813,126.68338610134238,371.77954235606103,337.20157397697636,833.914510300399,1044.5805394646295,784.1230207564109,209.19738327060188,185.79287973424832,234.1512542062872,102.45708096672138,120.36649982371466,110.07940903995087
2022/05/07 10:53:20,177.15857762146538,269.9547174558229,159.5110821371216,125.19945540093856,124.993555052995,110.97676684407026,126.47773125377526,371.3518349829113,336.73438434230616,833.5465194213245,1044.1618074619357,783.6368936511683,209.00398358774174,185.5185888646628,233.8256604346368,102.40961197072123,120.2126571603408,109.89177929457016
2022/05/07 10:53:22,177.09236426018876,269.6566692956573,159.26667314880166,125.0762648983491,124.79449054092818,110.83484072055921,126.26272845859145,370.9241276097614,336.2671947076359,833.0936075701562,1043.5970061559763,783.121003661931,208.80040497420475,185.2540940975625,233.4902001850576,102.36214297472107,120.05881449696693,109.70414954918941
2022/05/07 10:53:24,177.0261508989121,269.35862113549166,159.02226416048174,124.94359820325272,124.59542602886138,110.69291459704814,126.04772566340766,370.4964202366116,335.8000050729657,832.6123887282896,1043.032204850017,782.5753507886996,208.5968263606678,184.98959933046217,233.1547399354784,102.31467397872095,119.90497183359307,109.51651980380868
