,2W,2R_B,2L_B,2L_F,1test
2022/05/08 12:16:53,1965.5324166966202,5482.570517604317,6416.532022591225,1446.6536087700429,8565.016242498898
2022/05/08 12:16:55,1966.928398309556,5486.993356985579,6422.774449574038,1447.5409528367868,8571.730659749477
2022/05/08 12:16:57,1968.3825458230306,5491.64204348418,6429.122680404017,1448.486803105734,8578.534735390642
2022/05/08 12:16:59,1969.8754706035313,5496.507166803568,6435.894126622662,1449.4521554420817,8585.338811031808
2022/05/08 12:17:01,1971.3974783343015,5501.664009316187,6442.69442843599,1450.4955160480336,8592.342127540942
2022/05/08 12:17:04,1973.0164292326363,5506.849082718474,6449.562059970241,1451.5876318224875,8599.39525426707
2022/05/08 12:17:06,1974.6353801309715,5512.052976713872,6456.448928567612,1452.6894986306422,8606.488229166793
2022/05/08 12:17:08,1976.2543310293063,5517.266281005826,6463.335797164983,1453.7913654387967,8613.591166109913
2022/05/08 12:17:10,1977.8732819276415,5522.488995594338,6470.241902825477,1454.902983280652,8620.70406509643
2022/05/08 12:17:12,1979.4922328259768,5527.711710182847,6477.186482612212,1456.0146011225072,8627.826926126349
2022/05/08 12:17:14,1981.111183724312,5532.943835067915,6484.150299462068,1457.1359699980628,8634.969711243062
2022/05/08 12:17:17,1982.7301346226468,5538.185370249536,6491.133353375046,1458.2573388736184,8642.122458403175
2022/05/08 12:17:19,1984.3587798377384,5543.464546617382,6498.126025819583,1459.378707749174,8649.285167606686
2022/05/08 12:17:21,1985.98742505283,5548.743722985228,6505.118698264122,1460.5000766247297,8656.457838853596
2022/05/08 12:17:23,1987.6451532181914,5554.05113024274,6512.130607771781,1461.6214455002853,8663.680320317497
2022/05/08 12:17:25,1989.302881383552,5559.386768389922,6519.142517279441,1462.7623164432418,8670.9028017814
2022/05/08 12:17:27,1990.9799981824265,5564.731816833659,6526.183282381781,1463.9129384198989,8678.125283245301
2022/05/08 12:17:29,1992.6571149813003,5570.086275573951,6533.224047484122,1465.0733114302566,8685.387612882798
2022/05/08 12:17:31,1994.343926096931,5575.4689652039115,6540.2648125864625,1466.233684440614,8692.669866607092
2022/05/08 12:17:34,1996.0404315293179,5580.870475426984,6547.324814751925,1467.3940574509716,8699.97204441818
2022/05/08 12:17:36,1997.736936961705,5586.290806243167,6554.404053980507,1468.5641814950293,8707.314070402863
2022/05/08 12:17:38,1999.433442394092,5591.71113705935,6561.502530272212,1469.7343055390875,8714.70590660454
2022/05/08 12:17:40,2001.1396421432357,5597.150288468646,6568.610625095479,1470.9044295831459,8722.107704849615
2022/05/08 12:17:42,2002.7585930415707,5602.589439877942,6575.718719918744,1472.0355494924017,8729.569275355081
2022/05/08 12:17:44,2004.3096837226105,5608.047411880349,6582.8268147420085,1473.069159064653,8737.040807903944
2022/05/08 12:17:46,2005.8704687204065,5613.514794179313,6589.934909565274,1474.0540134684018,8744.562150669803
2022/05/08 12:17:48,2007.4312537182025,5618.9821764782755,6597.4181271194,1475.0778720069525,8752.163189782847
2022/05/08 12:17:50,2009.001733032755,5624.449558777238,6604.901344673528,1476.1407346803053,8759.774190939288
2022/05/08 12:17:52,2010.5722123473074,5629.916941076202,6612.384562227655,1477.2718545895614,8767.385192095731
2022/05/08 12:17:53,2012.1426916618602,5635.393733671721,6619.867779781784,1478.4907338021217,8774.996193252175
2022/05/08 12:17:55,2013.7131709764128,5640.964629232798,6627.3509973359105,1479.7388661157836,8782.607194408618
2022/05/08 12:17:57,2015.2836502909656,5646.601396869766,6634.834214890038,1480.9869984294455,8790.218195565061
2022/05/08 12:17:59,2016.854129605518,5652.238164506736,6642.317432444166,1482.2351307431074,8797.829196721503
2022/05/08 12:18:01,2018.4246089200703,5657.874932143704,6649.77179440361,1483.4832630567694,8805.440197877946
2022/05/08 12:18:03,2019.9950882346234,5663.5116997806745,6657.206919299936,1484.7313953704313,8813.05119903439
2022/05/08 12:18:06,2021.5655675491757,5669.148467417644,6664.62280713314,1485.9795276840932,8820.662200190833
2022/05/08 12:18:08,2023.1360468637283,5674.785235054613,6672.0386949663425,1487.2276599977554,8828.273201347276
2022/05/08 12:18:10,2024.7065261782811,5680.422002691581,6679.435345736424,1488.4757923114169,8835.884202503717
2022/05/08 12:18:12,2026.2770054928335,5686.058770328549,6686.822377974945,1489.7239246250788,8843.485241616763
2022/05/08 12:18:14,2027.847484807386,5691.592024703404,6693.795813356363,1490.9720569387407,8851.076318686408
2022/05/08 12:18:16,2029.417964121939,5696.946483443697,6700.615352232811,1492.2201892524026,8858.597661452266
2022/05/08 12:18:18,2030.9884434364915,5702.235070108099,6707.377179919896,1493.4683215660646,8866.089118087926
2022/05/08 12:18:20,2032.5589227510438,5707.382502324161,6713.8504516601615,1494.7164538797265,8873.520802463196
2022/05/08 12:18:21,2034.1294020655964,5712.520524243669,6720.256393679507,1495.9645861933884,8880.713397796902
2022/05/08 12:18:23,2035.6998813801492,5717.526802011394,6726.6142430410455,1497.2127185070506,8887.886069043812
2022/05/08 12:18:25,2037.2703606947016,5722.476617999785,6732.760484708254,1498.4608508207125,8894.969081900135
2022/05/08 12:18:27,2038.8408400092544,5727.360561912284,6738.800922528294,1499.708983134374,8902.032170669661
2022/05/08 12:18:29,2040.411319323807,5732.216274935115,6744.831741816775,1500.957115448036,8908.995639005203
2022/05/08 12:18:31,2041.9817986383594,5737.043757068278,6750.814468447452,1502.2052477616978,8915.92922121055
2022/05/08 12:18:33,2043.5522779529122,5741.8524186083305,6756.729865357207,1503.4533800753597,8922.8329172857
2022/05/08 12:18:35,2045.1906174847602,5746.623438962159,6762.606788140718,1504.750267557524,8929.656917013663
2022/05/08 12:18:37,2047.0422319852514,5751.337997536652,6768.387525608624,1506.0471550396883,8936.44106856803
2022/05/08 12:18:40,2048.903540802499,5756.033735518033,6774.158644544968,1507.3830466566544,8943.16544786201
2022/05/08 12:18:42,2050.7745439365026,5760.673011720079,6779.881670823511,1508.777444475824,8949.86990306919
2022/05/08 12:18:44,2052.674630020776,5765.293467329013,6785.595078570492,1510.171842294993,8956.51458601598
